Fecha_Atencion,Adulto_NNA_NNAnA,Sexo,Fecha_Nacimiento,Edad,Pais_Origen,Departamento_Estado,Estado_Civil,Tipo_Poblacion,Hijos,Leer_Escribir,Grado_Estudio,Idiomas_Domina,Fecha_Salida_Pais_Origen,Viajo_Con_Alguien,Abuso_Derechos_Humanos_Antes_Mexico,Abuso_Derechos_Humanos_Al_Llegar_Mexico,Pago_Guia_Viajar,Fecha_Ingreso_Mexico,Ingreso_Mexico_Por,Destino_Final,Red_Apoyo_Mexico,Intento_Ingreso_EUA,Red_Apoyo_EUA,Estuvo_Estacion_Migratoria,Puso_Denuncia_Formal,Puede_Regresar_Pais,Tiene_Enfermedad,Padece_Alergia,Estuvo_Otro_Albergue_Mexico,Albergue_Casa_Monarca,Servicios_Brindados,Hospedado_Actualmente
2023-12-10,Adolescente no acompañado,Hombre,1985-04-13,10,Kuwait,Estado5,Soltero/Soltera,Refugiados,No,No,Sin escolarizar,Garífona,2018-02-05,Si,Si,Si,No,2020-01-08,Matamoros,Estados Unidos,Si,No,No,Si,No,No,No,No,No,Si,Alimento,No
2023-07-23,Adolescente acompañado,Mujer,1974-10-11,55,Argelia,Estado3,Separado/Separada,Refugiados,Si,Si,Preparatoria,Español,2019-08-03,Si,Si,No,Si,2023-10-16,Tapachula,Regresar a mi país de origen,No,No,No,No,No,No,No,Si,Si,No,Agua y alimento,Si
2021-03-25,Niña no acompañada,Hombre,1960-03-03,24,Bielorrusia,Estado4,Casado/Casada,MPP,No,Si,Primaria,Español,2015-11-29,No,Si,No,Si,2022-10-30,Chiapas,Estados Unidos,Si,No,Si,No,No,Si,Si,No,Si,No,Agua y alimento,No
2020-06-30,Adolescente no acompañado,Hombre,1990-10-07,18,Kuwait,Estado4,Soltero/Soltera,Desplazados Internos,No,No,Bachillerato Técnico,Inglés,2019-08-11,No,Si,Si,No,2022-07-20,Palenque,Regresar a mi país de origen,Si,Si,No,No,Si,No,Si,Si,No,No,Orientación en el acceso a la educación,No
2021-12-15,Niño acompañado,Hombre,1992-10-15,24,Gambia,Estado1,Casado/Casada,Retornados,No,Si,Licenciatura,Frances,2016-11-01,Si,No,No,Si,2021-05-21,Tenosoique,Estados Unidos,No,No,Si,No,No,No,Si,Si,No,Si,Orientación en el acceso a la educación,No
2020-10-08,Niña no acompañada,Hombre,1975-03-28,58,Botsuana,Estado1,Casado/Casada,Desplazados Internos,No,No,Sin escolarizar,Inglés,2016-03-14,No,No,Si,No,2016-07-14,Palenque,Regresar a mi país de origen,No,Si,No,No,No,Si,No,Si,Si,Si,Kit de higiene,No
2022-02-02,Niña no acompañada,Mujer,1992-08-27,33,Honduras,Estado4,Divorciada / Divorciado,Desplazados Internos,Si,No,Secundaria,Inglés,2018-06-20,Si,No,No,No,2019-09-06,Chiapas,Estados Unidos,No,No,Si,No,No,Si,No,Si,Si,Si,Orientación a servicios prisológicos,No
2020-04-10,Adolescente no acompañado,Mujer,1970-02-12,13,Gambia,Estado2,Divorciada / Divorciado,Refugiados,No,No,Preescolar,Frances,2018-03-19,No,No,Si,Si,2023-03-02,Tenosoique,Estados Unidos,Si,Si,Si,Si,No,No,Si,No,No,No,Orientación legal,No
2022-02-04,Niña acompañada,Mujer,1984-10-19,21,Corea del Sur,Estado3,Separado/Separada,MPP,Si,No,Bachillerato Técnico,Español,2016-05-24,No,No,Si,Si,2016-05-10,Palenque,México,No,Si,No,Si,Si,Si,Si,Si,Si,Si,Orientación legal,No
2023-10-27,Niño acompañado,Hombre,1982-02-19,46,Estados Unidos,Estado1,Viuda/Viudo,Tránsito,Si,No,Secundaria,Portuges,2016-07-04,No,Si,Si,No,2019-07-04,Tenosoique,México,No,Si,Si,Si,Si,Si,Si,Si,No,No,Acceso a higiene (Regadera),No
2021-12-26,Adolescente no acompañado,Mujer,1980-11-13,46,Austria,Estado2,Casado/Casada,MPP,No,No,Preparatoria,Portuges,2019-01-24,No,Si,No,Si,2015-05-20,Matamoros,México,No,No,Si,Si,Si,No,No,Si,No,Si,Alimento,No
2021-09-11,Niño acompañado,Hombre,1961-04-18,52,Cabo Verde,Estado5,Viuda/Viudo,Desplazados Internos,Si,Si,Sin escolarizar,Portuges,2023-11-23,No,Si,No,No,2020-02-23,Chetumal,México,No,Si,Si,No,Si,No,No,No,No,No,Orientación legal,No
2021-07-26,Niño acompañado,Mujer,1983-10-19,15,Kirguistán,Estado1,Separado/Separada,MPP,Si,No,Sin escolarizar,Frances,2015-08-23,Si,Si,Si,Si,2015-10-09,Tenosoique,México,No,Si,No,No,No,Si,No,Si,Si,No,Orientación en búsqueda de empleo,No
2023-04-19,Niña no acompañada,Mujer,2008-04-23,48,Japón,Estado2,Casado/Casada,Refugiados,Si,No,Bachillerato Técnico,Criollo Haitiano,2018-11-09,No,Si,Si,Si,2017-01-03,Chiapas,México,No,No,No,No,Si,No,No,No,No,No,Acceso a higiene (Regadera),No
2021-07-22,Adolescente acompañado,Mujer,1999-06-07,55,Azerbaiyán,Estado2,Casado/Casada,Tránsito,No,Si,Sin escolarizar,Criollo Haitiano,2017-05-13,Si,No,No,Si,2023-08-26,Matamoros,Regresar a mi país de origen,Si,Si,No,Si,No,Si,No,No,Si,No,Agua y alimento,No
2021-11-14,Niño acompañado,Hombre,1961-05-19,33,Bután,Estado3,Union Libre,Refugiados,Si,No,Secundaria,Criollo Haitiano,2020-01-22,Si,Si,No,No,2023-08-21,Matamoros,Regresar a mi país de origen,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Canalización a servicios pricológicos,No
